City,State,Median Age,Male Population,Female Population,Total Population,Foreign-born,State Code,Race,Count
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,4982.0,WI,American Indian and Alaska Native,481
Citrus Heights,California,37.8,41982.0,45071.0,87053,9466.0,CA,White,77525
Kissimmee,Florida,36.7,33283.0,35869.0,69152,16879.0,FL,Asian,2634
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,49815.0,NV,Black or African-American,54093
Kirkland,Washington,40.8,42159.0,45108.0,87267,18570.0,WA,Asian,15277
San Mateo,California,39.3,50966.0,52558.0,103524,34957.0,CA,Black or African-American,2880
Garden Grove,California,37.8,86779.0,88605.0,175384,80677.0,CA,White,66782
Baton Rouge,Louisiana,31.2,111492.0,117104.0,228596,12268.0,LA,American Indian and Alaska Native,1119
Wichita,Kansas,34.6,192354.0,197601.0,389955,40270.0,KS,Black or African-American,52592
Dale City,Virginia,33.4,35984.0,35415.0,71399,22306.0,VA,White,34640
Longview,Texas,36.8,40065.0,41525.0,81590,8782.0,TX,White,60997
Livermore,California,36.7,41522.0,46595.0,88117,13959.0,CA,Hispanic or Latino,19582
Berkeley,California,32.5,60142.0,60829.0,120971,25000.0,CA,Black or African-American,11255
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10599.0,TN,White,114140
Memphis,Tennessee,34.1,312237.0,343523.0,655760,43318.0,TN,American Indian and Alaska Native,4127
Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,6313.0,AR,Asian,4707
Santa Rosa,California,37.9,86840.0,88149.0,174989,33015.0,CA,Hispanic or Latino,54578
Sparks,Nevada,36.1,47780.0,48318.0,96098,15690.0,NV,American Indian and Alaska Native,2019
Richmond,Virginia,33.6,104793.0,115496.0,220289,15741.0,VA,Black or African-American,109722
Richmond,Virginia,33.6,104793.0,115496.0,220289,15741.0,VA,American Indian and Alaska Native,4902
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,2833.0,WI,Black or African-American,725
Paterson,New Jersey,34.0,70640.0,77117.0,147757,49810.0,NJ,Asian,9653
Paterson,New Jersey,34.0,70640.0,77117.0,147757,49810.0,NJ,American Indian and Alaska Native,1083
Beaverton,Oregon,35.6,47325.0,49252.0,96577,18933.0,OR,American Indian and Alaska Native,905
Conroe,Texas,31.5,34907.0,33685.0,68592,13839.0,TX,White,57480
Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,5404.0,IA,Black or African-American,11921
Edmond,Oklahoma,32.5,45191.0,44899.0,90090,5585.0,OK,Asian,5349
Sacramento,California,33.7,237724.0,252991.0,490715,112579.0,CA,White,268151
Detroit,Michigan,34.8,319265.0,357859.0,677124,39861.0,MI,Black or African-American,545988
Compton,California,30.1,49264.0,49184.0,98448,30660.0,CA,Hispanic or Latino,67523
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,5274.0,MO,Hispanic or Latino,4070
Bryan,Texas,29.4,41761.0,40345.0,82106,12014.0,TX,Hispanic or Latino,29647
Temple,Texas,33.6,33512.0,38785.0,72297,3968.0,TX,American Indian and Alaska Native,1615
Spokane,Washington,36.6,102756.0,110511.0,213267,13253.0,WA,Hispanic or Latino,13365
Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,35320.0,CO,American Indian and Alaska Native,11146
Rockville,Maryland,38.1,31205.0,35793.0,66998,25047.0,MD,Black or African-American,7533
Vancouver,Washington,37.2,82958.0,89895.0,172853,21748.0,WA,Asian,10882
Fullerton,California,34.5,69549.0,71300.0,140849,43404.0,CA,White,92216
Stockton,California,32.5,150976.0,154674.0,305650,79583.0,CA,White,170878
Eagan,Minnesota,36.8,31587.0,34701.0,66288,8642.0,MN,Asian,6923
Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,17884.0,RI,Hispanic or Latino,16117
Pawtucket,Rhode Island,39.2,36072.0,35511.0,71583,17884.0,RI,White,47614
Irvine,California,34.6,125411.0,131516.0,256927,116366.0,CA,Black or African-American,8670
Norman,Oklahoma,30.9,59483.0,60814.0,120297,8705.0,OK,American Indian and Alaska Native,10801
Youngs,Ohio,37.5,30758.0,33851.0,64609,1058.0,OH,Asian,247
